X1,Y1,sigma_xx,sigma_yy,sigma_zz,sigma_xy,,X,Y,u_x,u_y,|u|
2.28114144,0.131743272,-28.68304356,-67.96570075,-28.99462329,2.018089433,,0.00E+00,1.46E+00,0.00E+00,-1.29E-03,1.29E-03
2.102197831,0.153221131,-28.56985865,-67.80534611,-28.91256143,1.80088619,,0.00E+00,1.53E+00,0.00E+00,-1.33E-03,1.33E-03
3.432129118,0.022738576,-28.83989465,-67.52531334,-28.9095624,3.68972764,,0.00E+00,1.39E+00,0.00E+00,-1.24E-03,1.24E-03
3.249464656,0.05389729,-28.6992253,-67.49859776,-28.85934692,3.37855191,,0.00E+00,1.60E+00,0.00E+00,-1.38E-03,1.38E-03
0.850095184,0.208029619,-28.50689379,-67.61188887,-28.8356348,0.621944381,,0.00E+00,1.60E+00,0.00E+00,-1.38E-03,1.38E-03
2.238802167,0.154117836,-28.47705821,-67.63947452,-28.83495982,1.954553148,,0.00E+00,1.82E+00,0.00E+00,-1.52E-03,1.52E-03
0.59609898,0.212907824,-28.50485188,-67.58258836,-28.82623207,0.428548485,,0.00E+00,1.71E+00,0.00E+00,-1.45E-03,1.45E-03
1.111023846,0.207030021,-28.4533439,-67.54724624,-28.80017704,0.830778514,,0.00E+00,1.77E+00,0.00E+00,-1.49E-03,1.49E-03
2.597126725,0.131743272,-28.45741786,-67.52612734,-28.79506356,2.404502248,,0.00E+00,1.66E+00,0.00E+00,-1.42E-03,1.42E-03
0.34272574,0.220222701,-28.46428716,-67.48991042,-28.78625927,0.243226679,,0.00E+00,1.82E+00,0.00E+00,-1.52E-03,1.52E-03
2.910507995,0.106307507,-28.46298421,-67.39293212,-28.7567749,2.841062999,,0.00E+00,1.82E+00,0.00E+00,-1.52E-03,1.52E-03
1.372269418,0.208399826,-28.35719192,-67.41100467,-28.73045898,1.052876665,,0.00E+00,2.00E+00,0.00E+00,-1.62E-03,1.62E-03
3.608793728,0.022738576,-28.6139756,-67.00061868,-28.68437828,3.961521309,,0.00E+00,1.91E+00,0.00E+00,-1.57E-03,1.57E-03
1.637945121,0.20855909,-28.24917772,-67.25535701,-28.65136042,1.29584156,,0.00E+00,1.96E+00,0.00E+00,-1.60E-03,1.60E-03
3.047083701,0.106307507,-28.33035223,-67.10713982,-28.63124762,3.030942157,,0.00E+00,1.87E+00,0.00E+00,-1.55E-03,1.55E-03
2.820712369,0.132348775,-28.2623548,-67.13255914,-28.61847418,2.695575971,,2.97E-02,2.13E+00,1.22E-06,-1.80E-03,1.80E-03
0.103256837,0.24473463,-28.24717661,-67.0806012,-28.59833334,0.072313194,,2.97E-02,2.13E+00,1.22E-06,-1.80E-03,1.80E-03
2.640228023,0.154406803,-28.18115398,-67.0782492,-28.57782095,2.441095544,,2.97E-02,2.09E+00,1.22E-06,-1.74E-03,1.74E-03
1.903768977,0.211105255,-28.09257033,-67.01223404,-28.53144131,1.556842356,,2.97E-02,2.04E+00,1.22E-06,-1.68E-03,1.68E-03
2.777811838,0.154908619,-28.0577878,-66.83481691,-28.46778141,2.618564513,,2.97E-02,1.91E+00,1.21E-06,-1.57E-03,1.57E-03
3.739965344,0.026993189,-28.38302208,-66.50596043,-28.46669475,4.158511611,,2.97E-02,1.96E+00,1.22E-06,-1.60E-03,1.60E-03
2.171924469,0.210773198,-27.93620861,-66.75900247,-28.40856333,1.84259119,,2.97E-02,2.00E+00,1.22E-06,-1.62E-03,1.62E-03
0.790562365,0.26406935,-27.98667222,-66.66069093,-28.39420895,0.564778906,,2.97E-02,1.87E+00,1.21E-06,-1.55E-03,1.55E-03
0.929883041,0.26406935,-27.95489504,-66.62492933,-28.37394731,0.671090148,,2.97E-02,1.87E+00,1.21E-06,-1.55E-03,1.55E-03
3.136697654,0.132348775,-27.95086312,-66.47276722,-28.3270891,3.130108314,,2.97E-02,2.00E+00,1.22E-06,-1.62E-03,1.62E-03
3.842226901,0.027093191,-28.23101325,-66.1519401,-28.314886,4.316459199,,4.15E-02,1.65E+00,1.65E-06,-1.41E-03,1.41E-03
0.292432025,0.279547046,-27.91182459,-66.46841822,-28.31407284,0.202902019,,4.15E-02,1.65E+00,1.65E-06,-1.41E-03,1.41E-03
0.4317527,0.279547046,-27.89857114,-66.45495328,-28.30605732,0.300903413,,4.15E-02,1.81E+00,1.69E-06,-1.52E-03,1.52E-03
1.307485661,0.264539285,-27.83519489,-66.47977647,-28.29449141,0.976575061,,4.15E-02,1.70E+00,1.66E-06,-1.45E-03,1.45E-03
1.446806337,0.264539285,-27.78128777,-66.41181342,-28.25793036,1.097017492,,4.15E-02,1.76E+00,1.68E-06,-1.48E-03,1.48E-03
2.440140134,0.212853383,-27.7250366,-66.39626039,-28.2363891,2.148580444,,4.15E-02,1.81E+00,1.69E-06,-1.52E-03,1.52E-03
0.755001724,0.287410251,-27.77339784,-66.26592736,-28.21179756,0.533405616,,4.25E-02,2.35E+00,1.73E-06,-2.06E-03,2.06E-03
0.974982063,0.286157171,-27.73319091,-66.23139553,-28.18937593,0.700316154,,4.25E-02,2.35E+00,1.73E-06,-2.06E-03,2.06E-03
3.450800967,0.106659523,-27.87079771,-66.08797426,-28.18763159,3.614131975,,4.25E-02,2.19E+00,1.75E-06,-1.87E-03,1.87E-03
3.790525578,0.05408638,-28.00090675,-65.88799903,-28.16667173,4.196782975,,4.25E-02,2.30E+00,1.74E-06,-2.00E-03,2.00E-03
3.973578373,0.022822816,-28.07459254,-65.74173681,-28.14489881,4.525655569,,4.25E-02,2.24E+00,1.75E-06,-1.93E-03,1.93E-03
1.268289936,0.286587869,-27.63679376,-66.11863506,-28.12662865,0.935638956,,4.25E-02,2.19E+00,1.75E-06,-1.87E-03,1.87E-03
0.478917681,0.30159563,-27.68633286,-66.06793937,-28.12628167,0.331580074,,5.29E-02,1.38E+00,1.95E-06,-1.23E-03,1.23E-03
1.83624637,0.267973512,-27.56078182,-66.10080968,-28.09847745,1.457905007,,5.29E-02,1.38E+00,1.95E-06,-1.23E-03,1.23E-03
3.179506097,0.155087352,-27.65528611,-65.99473712,-28.09500697,3.16565476,,5.29E-02,1.58E+00,2.07E-06,-1.37E-03,1.37E-03
0.263645123,0.308380737,-27.64464043,-65.9715087,-28.08484474,0.180771135,,5.29E-02,1.44E+00,2.00E-06,-1.27E-03,1.27E-03
3.360668838,0.132787021,-27.69136479,-65.90501104,-28.07891275,3.450230295,,5.29E-02,1.51E+00,2.04E-06,-1.32E-03,1.32E-03
1.490827771,0.286913848,-27.54495542,-66.00521189,-28.06505019,1.126400099,,5.29E-02,1.58E+00,2.07E-06,-1.37E-03,1.37E-03
2.709275071,0.212128652,-27.50979102,-65.99819392,-28.05239548,2.479258885,,5.51E-02,2.63E+00,2.15E-06,-2.34E-03,2.34E-03
1.975567046,0.267973512,-27.48024826,-65.98426071,-28.03935269,1.597702052,,5.51E-02,2.63E+00,2.15E-06,-2.34E-03,2.34E-03
3.587376672,0.106659523,-27.69408331,-65.68366625,-28.01332487,3.816619935,,5.51E-02,2.42E+00,2.23E-06,-2.13E-03,2.13E-03
0.683291379,0.317514457,-27.50424297,-65.76056335,-27.9794419,0.474951913,,5.51E-02,2.56E+00,2.18E-06,-2.28E-03,2.28E-03
1.061640539,0.311636655,-27.46601998,-65.76558153,-27.96948045,0.760509893,,5.51E-02,2.49E+00,2.21E-06,-2.21E-03,2.21E-03
0.563961858,0.323645687,-27.46766978,-65.6747867,-27.94273694,0.388528336,,5.51E-02,2.42E+00,2.23E-06,-2.13E-03,2.13E-03
1.188414575,0.311822812,-27.42298899,-65.71740468,-27.9421181,0.861226559,,5.93E-02,2.09E+00,2.44E-06,-1.74E-03,1.74E-03
3.317409431,0.155450552,-27.49338258,-65.6442202,-27.94128083,3.360910213,,5.93E-02,2.09E+00,2.44E-06,-1.74E-03,1.74E-03
1.794984687,0.290061333,-27.36463353,-65.75626165,-27.93626855,1.405598302,,5.93E-02,2.00E+00,2.44E-06,-1.62E-03,1.62E-03
4.150242983,0.022822816,-27.77793748,-65.04545346,-27.84701728,4.79514017,,5.93E-02,2.04E+00,2.44E-06,-1.68E-03,1.68E-03
2.019027221,0.290533355,-27.22739807,-65.56182107,-27.83676574,1.628273145,,5.93E-02,1.91E+00,2.43E-06,-1.57E-03,1.57E-03
1.578760144,0.31335188,-27.24738955,-65.50283815,-27.82506831,1.192587952,,5.93E-02,1.91E+00,2.43E-06,-1.57E-03,1.57E-03
