X,Y,ux,uy,sigma_xx,sigma_yy,sigma_xy,magnitude
0.13131313,3.4343433,-1.7346814e-05,-0.0028606523,-4.023101,-10.241119,-0.015400854,0.002860705
0.13131313,3.4747474,-1.7523766e-05,-0.002875749,-3.7259512,-9.507399,-0.017205648,0.0028758026
0.13131313,3.5151515,-1.7732382e-05,-0.0028897356,-3.4282734,-8.773079,-0.018547172,0.00288979
0.13131313,3.5555556,-1.7952174e-05,-0.002902612,-3.1300554,-8.038284,-0.019354874,0.0029026675
0.13131313,3.5959597,-1.8175691e-05,-0.0029143654,-2.8313055,-7.3031883,-0.019571332,0.002914422
0.13131313,3.6363637,-1.8423423e-05,-0.0029249936,-2.5320315,-6.5679445,-0.019148009,0.0029250516
0.13131313,3.6767676,-1.8652529e-05,-0.0029345155,-2.2322798,-5.832777,-0.01804317,0.0029345748
0.13131313,3.7171717,-1.8898398e-05,-0.0029429235,-1.9321022,-5.0979185,-0.016227283,0.0029429842
0.13131313,3.7575758,-1.9134954e-05,-0.0029502288,-1.631597,-4.3636975,-0.013674788,0.002950291
0.13131313,3.7979798,-1.9375235e-05,-0.0029564034,-1.3308917,-3.630492,-0.010371856,0.002956467
0.13131313,3.838384,-1.9589439e-05,-0.0029614642,-1.0301608,-2.8987803,-0.0063094064,0.002961529
0.13131313,3.878788,-1.9783154e-05,-0.0029654354,-0.72961533,-2.1691005,-0.0014832669,0.0029655013
0.13131313,3.9191918,-1.996383e-05,-0.0029683001,-0.42952922,-1.442148,0.0041009816,0.0029683672
0.13131313,3.959596,-2.011098e-05,-0.0029700622,-0.13021716,-0.7186867,0.010434112,0.0029701302
0.13131313,4.0,-2.0228326e-05,-0.002970742,0.1679402,0.00038424332,0.01750445,0.002970811
0.26262626,0.04040404,1.6838312e-06,-9.085983e-05,-29.348717,-70.71581,0.09127499,9.087543e-05
0.26262626,0.08080808,1.2088567e-06,-0.00013340637,-28.997393,-70.001495,0.098546505,0.00013341186
0.26262626,0.121212125,7.748604e-07,-0.00017553568,-28.645737,-69.28651,0.10591389,0.0001755374
0.26262626,0.16161616,3.669411e-07,-0.00021724962,-28.294247,-68.5718,0.113091595,0.00021724992
0.26262626,0.2020202,-1.6763806e-08,-0.00025854819,-27.943241,-67.85785,0.11983522,0.00025854819
0.26262626,0.24242425,-3.669411e-07,-0.00029943697,-27.593,-67.14509,0.12598553,0.0002994372
0.26262626,0.28282827,-7.0407987e-07,-0.00033990853,-27.243664,-66.4336,0.13144782,0.00033990925
0.26262626,0.32323232,-1.0188669e-06,-0.00037997216,-26.89537,-65.723465,0.13615787,0.00037997353
0.26262626,0.36363637,-1.3057142e-06,-0.0004196111,-26.548092,-65.014366,0.14011519,0.00041961315
0.26262626,0.4040404,-1.5683472e-06,-0.0004588589,-26.201883,-64.30623,0.1433262,0.00045886158
0.26262626,0.44444445,-1.8142164e-06,-0.00049767643,-25.856678,-63.598656,0.14583775,0.00049767975
0.26262626,0.4848485,-2.0507723e-06,-0.00053608045,-25.512417,-62.891296,0.14770205,0.00053608435
0.26262626,0.5252525,-2.2761524e-06,-0.0005740877,-25.169086,-62.183918,0.14896373,0.0005740922
0.26262626,0.56565654,-2.4791807e-06,-0.0006116796,-24.826633,-61.476215,0.1496921,0.00061168463
0.26262626,0.6060606,-2.6710331e-06,-0.0006488506,-24.485067,-60.768047,0.14993513,0.00064885605
0.26262626,0.64646465,-2.8405339e-06,-0.0006856192,-24.144423,-60.059338,0.14975154,0.00068562507
0.26262626,0.68686867,-3.0063093e-06,-0.0007219631,-23.804714,-59.350002,0.14916068,0.00072196935
0.26262626,0.72727275,-3.1590462e-06,-0.00075789914,-23.46607,-58.640198,0.14819978,0.0007579057
0.26262626,0.7676768,-3.3080578e-06,-0.00079342164,-23.128553,-57.93,0.14688677,0.00079342857
0.26262626,0.8080808,-3.4496188e-06,-0.00082851574,-22.792273,-57.219555,0.14523579,0.0008285229
0.26262626,0.8484849,-3.5837293e-06,-0.00086320005,-22.457348,-56.509075,0.1432545,0.0008632075
0.26262626,0.8888889,-3.7066638e-06,-0.00089746714,-22.12388,-55.79872,0.14094445,0.0008974748
0.26262626,0.9292929,-3.8240105e-06,-0.0009313207,-21.791933,-55.088596,0.13831475,0.00093132857
0.26262626,0.969697,-3.941357e-06,-0.0009647608,-21.46155,-54.378735,0.13537961,0.0009647688
0.26262626,1.010101,-4.0549785e-06,-0.0009977724,-21.132742,-53.669132,0.13214333,0.0009977807
0.26262626,1.050505,-4.163012e-06,-0.0010303743,-20.805475,-52.959698,0.12863152,0.0010303827
0.26262626,1.0909091,-4.284084e-06,-0.0010625497,-20.47964,-52.250145,0.124870785,0.0010625583
0.26262626,1.1313131,-4.3921173e-06,-0.0010943078,-20.15517,-51.540268,0.12088422,0.0010943166
0.26262626,1.1717172,-4.5020133e-06,-0.0011256523,-19.831913,-50.82968,0.11671005,0.0011256613
0.26262626,1.2121212,-4.624948e-06,-0.0011565778,-19.509777,-50.11821,0.11238417,0.001156587
0.26262626,1.2525252,-4.7478825e-06,-0.0011870805,-19.188683,-49.405567,0.10793434,0.0011870901
0.26262626,1.2929293,-4.8745424e-06,-0.0012171641,-18.86861,-48.691692,0.1033971,0.0012171739
0.26262626,1.3333334,-5.003065e-06,-0.0012468267,-18.549648,-47.9767,0.09878818,0.0012468367
0.26262626,1.3737373,-5.1371753e-06,-0.0012760777,-18.23201,-47.260902,0.09412459,0.0012760881
0.26262626,1.4141414,-5.280599e-06,-0.0013049114,-17.915974,-46.544716,0.08942365,0.0013049222
0.26262626,1.4545455,-5.442649e-06,-0.0013333391,-17.601927,-45.828636,0.08468697,0.0013333503
0.26262626,1.4949495,-5.595386e-06,-0.0013613589,-17.29027,-45.11297,0.07993347,0.0013613704
0.26262626,1.5353535,-5.763024e-06,-0.0013890099,-16.981354,-44.397587,0.07517214,0.0013890219
0.26262626,1.5757576,-5.9511513e-06,-0.0014162753,-16.675484,-43.68181,0.07041839,0.0014162879
0.26262626,1.6161616,-6.1225146e-06,-0.0014432073,-16.373028,-42.964478,0.06567825,0.0014432203
0.26262626,1.6565657,-6.305054e-06,-0.0014698375,-16.07463,-42.244205,0.06092518,0.001469851
0.26262626,1.6969697,-6.5229833e-06,-0.0014962144,-15.781661,-41.520206,0.056111548,0.0014962286
0.26262626,1.7373737,-6.7222863e-06,-0.0015224405,-15.496556,-40.792885,0.051167656,0.0015224554
0.26262626,1.7777778,-6.949529e-06,-0.0015486144,-15.223204,-40.06467,0.0460613,0.0015486298
0.26262626,1.8181819,-7.165596e-06,-0.0015749112,-14.966296,-39.339058,0.04086973,0.0015749275
0.26262626,1.8585858,-7.396564e-06,-0.0016015507,-14.73003,-38.618927,0.035869732,0.0016015678
0.26262626,1.8989899,-7.6293945e-06,-0.0016288515,-14.515689,-37.90356,0.031472478,0.0016288693
0.26262626,1.939394,-7.877126e-06,-0.0016571674,-14.319811,-37.18766,0.028066948,0.0016571862
0.26262626,1.979798,-8.115545e-06,-0.0016869325,-14.134438,-36.46441,0.025688501,0.0016869521
0.26262626,2.020202,-8.365139e-06,-0.0017185397,-13.950094,-35.731537,0.023875466,0.0017185601
0.26262626,2.060606,-8.588657e-06,-0.0017523486,-13.759301,-34.99466,0.021844948,0.0017523696
